"Data","Articoli cumulati SARS","Articoli Cumulati MERS","Articoli Cumulati COVID-19"
0,0,0,4
1,0,0,56
2,0,0,208
3,0,0,745
4,0,1,
5,0,1,
6,4,1,
7,9,1,
8,15,1,
9,26,1,
10,29,1,
11,38,1,
12,47,1,
13,56,1,
14,65,1,
15,75,2,
16,123,2,
17,133,2,
18,151,2,
19,176,2,
20,193,2,
21,210,3,
22,229,3,
23,257,3,
24,284,3,
25,294,3,
26,320,3,
27,335,3,
28,362,3,
29,376,3,
30,396,3,
31,418,3,
32,438,3,
33,455,3,
34,468,3,
35,486,3,
36,501,4,
37,511,4,
38,519,4,
39,533,4,
40,541,5,
41,717,5,
42,729,7,
43,741,13,
44,752,13,
45,762,18,
46,789,19,
47,805,22,
48,815,25,
49,825,26,
50,833,28,
51,838,30,
52,843,30,
53,851,32,
54,862,35,
55,868,39,
56,875,41,
57,880,45,
58,885,47,
59,893,50,
60,896,56,
61,899,58,
62,910,63,
63,915,67,
64,922,71,
65,932,72,
66,936,74,
67,944,82,
68,955,85,
69,962,91,
70,970,93,
71,978,96,
72,981,104,
73,985,107,
74,988,113,
75,995,116,
76,1005,124,
77,1008,129,
78,1018,134,
79,1027,143,
80,1034,151,
81,1039,154,
82,1045,158,
83,1051,163,
84,1053,170,
85,1056,175,
86,1060,182,
87,1062,190,
88,1066,195,
89,1072,197,
90,1078,204,
91,1080,206,
92,1085,216,
93,1089,222,
94,1090,232,
95,1098,233,
96,1110,237,
97,1112,243,
98,1117,248,
99,1121,254,
100,1128,258,
101,1130,262,
102,1140,268,
103,1141,273,
104,1145,277,
105,1147,278,
106,1150,285,
107,1152,290,
108,1155,294,
109,1158,299,
110,1161,302,
111,1165,307,
112,1167,319,
113,1169,326,
114,1172,330,
115,1174,335,
116,1175,339,
117,1177,344,
118,1179,349,
119,1180,359,
120,1184,364,
121,1187,370,
122,1187,376,
123,1189,382,
124,1191,400,
125,1196,,
126,1204,,
127,1207,,
128,1207,,
129,1210,,
130,1213,,
131,1213,,
132,1214,,
133,1217,,
134,1217,,
135,1218,,
136,1222,,
137,1227,,
138,1228,,
139,1230,,
140,1233,,
141,1235,,
142,1236,,
143,1238,,
144,1240,,
145,1243,,
146,1245,,
147,1245,,
148,1247,,
149,1247,,
150,1248,,
151,1248,,
152,1250,,
153,1252,,
154,1255,,
155,1258,,
156,1260,,
157,1260,,
158,1261,,
159,1265,,
160,1268,,
161,1268,,
162,1272,,
163,1274,,
164,1275,,
165,1278,,
166,1281,,
167,1281,,
168,1284,,
169,1286,,
170,1286,,
171,1287,,
172,1288,,
173,1293,,
174,1294,,
175,1298,,
176,1301,,
177,1302,,
178,1302,,
179,1305,,
180,1305,,
181,1309,,
182,1310,,
183,1312,,
184,1312,,
185,1312,,
186,1314,,
187,1314,,
188,1315,,
189,1316,,
190,1321,,
191,1322,,
192,1323,,
193,1327,,
194,1327,,
195,1327,,
196,1328,,
197,1330,,
198,1332,,
199,1333,,
200,1333,,
201,1333,,
202,1333,,
203,1335,,
204,1336,,
205,1336,,
206,1337,,
207,1344,,
208,1414,,
209,1565,,
