"Ente","Articoli pubblicati"
"ARPA di Pavia",1
"ASL Teramo",1
"ASST Lodi",1
"AUSL Ospedale Maggiore Bologna",1
"Army Medical Center di Roma",1
"CNR IAC Mauro Picone Roma",1
"CNR Napoli",1
"Cittadella Universitaria di Monserrato",1
"Città",2
"ECJRC Ispra",1
"FBK Trento",2
"Fondazione ISI Torino",1
"IEO Milano",1
"IRCCS Maugeri di Pavia",1
"IRCCS Monzino",1
"IRCCS Multimedica Milano",1
"IRCCS Ospedale Maggiore Milano",1
"IRCCS San Matteo Pavia",2
"IRCCS San Raffaele Milano",2
"IRCCS Santa Lucia di Roma",1
"IRCCS Spallanzani di Roma",5
"Istituto Superiore di Sanità",2
"Istituto Zooprofilattico Sperimentale dell'Abruzzo e Molise",1
"Ministero della Salute Roma",1
"Ospedale Civile Spirito Santo di Pescara",1
"Ospedale Guglielmo da Saliceto Piacenza",1
"Ospedale Humanitas di Rozzano",4
"Ospedale Mazzini di Teramo",1
"Ospedale San Giovanni di Dio di Firenze",1
"Ospedale San Liberatore di Teramo",1
"Ospedale San Salvatore dell'Aquila",1
"Ospedale Santa Chiara di Trento",1
"Ospedale Santi Filippo e Nicola di Avezzano",1
"Ospedale Valduce Como",1
"Regione Lombardia",1
"Telerehabilitation International di Roma",1
"Ulisse Biomed",1
"Università Magna Græcia di Catanzaro",1
"Università Campus Bio-Medico di Roma",3
"Università Cattolica del Sacro Cuore Roma",1
"Università La Sapienza di Roma",2
"Università Milano Bicocca",3
"Università Politecnica delle Marche",1
"Università degli Studi di Napoli Federico II di Napoli",2
"Università del Piemonte Orientale",1
"Università del Salento",2
"Università della Basilicata",3
"Università di Bologna",2
"Università di Camerino",1
"Università di Milano",6
"Università di Padova",3
"Università di Pavia",1
"Università di Salerno",1
"Università di Sassari",1
"Università di Trento",1
"Università di Trieste",2
