"Country","Codice","Count(doi)"
,,1
"Arabia Saudita","SAU",18
"Argentina","ARG",1
"Australia","AUS",35
"Austria","AUT",2
"Azerbaijan","AZE",1
"Bangladesh","BGD",1
"Belgio","BEL",11
"Bolivia","BOL",8
"Brasile","BRA",50
"Bulgaria","BGR",1
"Canada","CAN",44
"Cile","CHL",1
"Cina","CHN",891
"Cipro","CYP",1
"Colombia","COL",3
"Costa d'Avorio","CIV",1
"Croazia","HRV",1
"Danimarca","DNK",5
"Ecuador","ECU",1
"Egitto","EGY",5
"Emirati Arabi Uniti","ARE",3
"Finlandia","FIN",10
"Francia","FRA",152
"Germania","DEU",50
"Giappone","JPN",16
"Giordania","JOR",3
"Grecia","GRC",11
"Hong Kong","HKG",8
"India","IND",39
"Indonesia","IDN",1
"Iran","IRN",21
"Iraq","IRQ",1
"Irlanda","IRL",1
"Islanda","ISL",1
"Italia","ITA",95
"Korea","KOR",54
"Libano","LBN",8
"Mali","MLI",1
"Malta","MLT",1
"Messico","MEX",2
"N/A","N/A",31
"Nigeria","NGA",1
"Norvegia","NOR",4
"Nuova Zelanda","NZL",1
"Paesi Bassi","NLD",41
"Pakistan","PAK",2
"Polonia","POL",4
"Protogallo","PRT",1
"Repubblica del Congo","COG",1
"Romania","ROU",1
"Russia","RUS",2
"Senegal","SEN",1
"Singapore","SGP",27
"Spagna","ESP",58
"Sri Lanka","LKA",2
"Sud Africa","ZAF",1
"Svezia","SWE",12
"Svizzera","CHE",5
"Taiwan","TWN",12
"Thailandia","THA",3
"Tunisia","TUN",1
"Turchia","TUR",4
"UK","GBR",92
"USA","USA",311
"Ungheria","HUN",1
"Venezuela","VEN",2
