"Titolo","Rivista","Data"
"[A model for 2019-nCoV infection with treatment](https://doi.org/10.1101/2020.04.24.20077958)","medRxiv","2020-04-30"
"[Assessment of Community Psycho-behavioral Responses during the outbreak of novel coronavirus (2019-nCoV): A cross sectional study](https://doi.org/10.21203/rs.3.rs-25146/v1)","Research Square","2020-04-30"
"[Coronavirus (2019-nCoV) Deactivation via Spike Glycoprotein Shielding by Old Drugs, Bioinformatic Study](https://doi.org/10.20944/preprints202005.0020.v1)","Preprints.org","2020-05-05"
"[The first 2019-nCoV infection case report from Iran](https://doi.org/10.21203/rs.3.rs-26452/v1)","Research Square","2020-05-06"
"[Comparison of two commercial molecular tests and a laboratory-developed modification of the CDC 2019-nCOV RT-PCR assay for the qualitative detection of SARS-CoV-2 from upper respiratory tract specimens](https://doi.org/10.1101/2020.05.02.20088740)","medRxiv","2020-05-07"
"[Drug repurposing: Dipeptidyl peptidase IV (DPP4) inhibitors as potential agents to treat SARS-CoV-2 (2019-nCov) infection](https://doi.org/10.21203/rs.3.rs-28134/v1)","Research Square","2020-05-10"
"[Prediction of 2019-nCov in Italy based on PSO and inversion analysis](https://doi.org/10.1101/2020.05.08.20095869)","medRxiv","2020-05-12"
"[ORF10: Molecular Insights into the Contagious Nature of Pandemic Novel Coronavirus 2019-nCoV](https://doi.org/10.26434/chemrxiv.12118839.v3)","ChemRxiv","2020-05-13"
"[A COVID-19 epidemic model integrating direct and fomite transmission as well as household structure](https://doi.org/10.1101/2020.04.25.20079178)","medRxiv","2020-04-30"
"[A Nationwide Survey of UK cardiac surgeons view on clinical decision making during the COVID-19 pandemic](https://doi.org/10.1101/2020.04.24.20078105)","medRxiv","2020-04-30"
"[A Novel Protein Drug, Novaferon, as the Potential Antiviral Drug for COVID-19](https://doi.org/10.1101/2020.04.24.20077735)","medRxiv","2020-04-30"
"[A demographic scaling model for estimating the total number of COVID-19 infections](https://doi.org/10.1101/2020.04.23.20077719)","medRxiv","2020-04-30"
"[A fractional-order SEIHDR model for COVID-19 with inter-city networked coupling effects](https://doi.org/10.1101/2020.04.25.20079806)","medRxiv","2020-04-30"
