"Data","Articoli al giorno","Articoli cumulati"
"2020-01-01",5,5
"2020-01-02",,5
"2020-01-03",,5
"2020-01-04",1,6
"2020-01-05",,6
"2020-01-06",,6
"2020-01-07",,6
"2020-01-08",,6
"2020-01-09",,6
"2020-01-10",,6
"2020-01-11",,6
"2020-01-12",,6
"2020-01-13",,6
"2020-01-14",,6
"2020-01-15",,6
"2020-01-16",,6
"2020-01-17",,6
"2020-01-18",,6
"2020-01-19",,6
"2020-01-20",,6
"2020-01-21",,6
"2020-01-22",1,7
"2020-01-23",,7
"2020-01-24",,7
"2020-01-25",,7
"2020-01-26",,7
"2020-01-27",,7
"2020-01-28",,7
"2020-01-29",,7
"2020-01-30",1,8
"2020-01-31",2,10
"2020-02-01",17,27
"2020-02-02",,27
"2020-02-03",,27
"2020-02-04",1,28
"2020-02-05",1,29
"2020-02-06",1,30
"2020-02-07",1,31
"2020-02-08",,31
"2020-02-09",1,32
"2020-02-10",,32
"2020-02-11",2,34
"2020-02-12",4,38
"2020-02-13",,38
"2020-02-14",4,42
"2020-02-15",,42
"2020-02-16",,42
"2020-02-17",3,45
"2020-02-18",,45
"2020-02-19",2,47
"2020-02-20",4,51
"2020-02-21",,51
"2020-02-22",4,55
"2020-02-23",,55
"2020-02-24",6,61
"2020-02-25",3,64
"2020-02-26",3,67
"2020-02-27",2,69
"2020-02-28",8,77
"2020-02-29",3,80
"2020-03-01",22,102
"2020-03-02",2,104
"2020-03-03",2,106
"2020-03-04",6,112
"2020-03-05",4,116
"2020-03-06",6,122
"2020-03-07",1,123
"2020-03-08",1,124
"2020-03-09",4,128
"2020-03-10",2,130
"2020-03-11",2,132
"2020-03-12",4,136
"2020-03-13",5,141
"2020-03-14",2,143
"2020-03-15",3,146
"2020-03-16",8,154
"2020-03-17",3,157
"2020-03-18",4,161
"2020-03-19",5,166
"2020-03-20",13,179
"2020-03-21",3,182
"2020-03-22",,182
"2020-03-23",5,187
"2020-03-24",9,196
"2020-03-25",11,207
"2020-03-26",13,220
"2020-03-27",12,232
"2020-03-28",5,237
"2020-03-29",10,247
"2020-03-30",11,258
"2020-03-31",10,268
"2020-04-01",18,286
"2020-04-02",18,304
"2020-04-03",14,318
"2020-04-04",9,327
"2020-04-05",4,331
"2020-04-06",9,340
"2020-04-07",18,358
"2020-04-08",11,369
"2020-04-09",8,377
"2020-04-10",22,399
"2020-04-11",8,407
"2020-04-12",8,415
"2020-04-13",22,437
"2020-04-14",10,447
"2020-04-15",15,462
"2020-04-16",24,486
"2020-04-17",11,497
"2020-04-18",16,513
"2020-04-19",8,521
"2020-04-20",11,532
"2020-04-21",8,540
"2020-04-22",35,575
"2020-04-23",8,583
"2020-04-24",28,611
"2020-04-25",11,622
"2020-04-26",12,634
"2020-04-27",,634
